Recommendation,Safety,Category,RuleName,SizeBytes,SizeText,AgeDays,FileCount,LastWriteTime,Path,Notes,CleanupHint,Source
"Watch","Review","TopLevelDiscovery","(discovery)",77007380477,"71.72 GB",0.0,149465,"2026-05-26 18:11:30","C:\Users\V_JINWKIM\AppData\Local\Temp","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",15369598772,"14.31 GB",0.0,108572,"2026-05-26 18:11:12","C:\Users\V_JINWKIM\AppData\Local\Microsoft","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",14914503639,"13.89 GB",0.0,65704,"2026-05-26 18:11:06","C:\Users\V_JINWKIM\AppData\Local\Google","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",12369953750,"11.52 GB",19.0,23,"2026-05-07 17:01:53","C:\Users\V_JINWKIM\AppData\Local\Temp\dh","General user temp files. Delete only after related apps are closed.","","Rule"
"DeleteSafe","Safe","DiagnosticReport","DiagnosticsHub Reports",11646927569,"10.85 GB",95.2,2,"2026-02-20 13:02:15","C:\Users\V_JINWKIM\AppData\Local\Temp\dh\Report.6E5842C9-4F54-4509-8B55-F0A5465C26D5","Visual Studio Diagnostics Hub report folders. Old profiling sessions can be removed.","Delete after confirming no active Visual Studio profiling session.","Rule"
"Watch","Review","TopLevelDiscovery","(discovery)",9741560138,"9.07 GB",5.9,27460,"2026-05-20 20:48:13","C:\Users\V_JINWKIM\AppData\Local\Programs","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","SafeIfClosed","Temp","User Temp Items",6133922816,"5.71 GB",6.3,813,"2026-05-20 10:21:51","C:\Users\V_JINWKIM\AppData\Local\Temp\VSTelem","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","SafeIfClosed","Temp","User Temp Items",4955898159,"4.62 GB",0.0,35017,"2026-05-26 18:10:52","C:\Users\V_JINWKIM\AppData\Local\Temp\Outlook Logging","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","Review","TopLevelDiscovery","(discovery)",4931458144,"4.59 GB",0.0,10034,"2026-05-26 18:11:07","C:\Users\V_JINWKIM\AppData\Local\Kakao","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",3457930477,"3.22 GB",0.1,38613,"2026-05-26 16:32:34","C:\Users\V_JINWKIM\AppData\Local\npm-cache","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
