"Path","Category","RuleName","Safety","Recommendation","SizeBytes","SizeText","FileCount","LastWriteTime","AgeDays","StaleAfterDays","Notes","CleanupAllowed","CleanupHint","Source"
"C:\Users\V_JINWKIM\AppData\Local\Temp","TopLevelDiscovery","(discovery)","Review","Watch","114925068925","107.03 GB","149492","2026-05-26 오후 5:45:30","0","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Temp\sc_user_aux_summary.txt","Temp","User Temp Items","SafeIfClosed","Watch","37903432379","35.30 GB","1","2026-05-26 오후 5:27:34","0","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Microsoft","TopLevelDiscovery","(discovery)","Review","Watch","15527319325","14.46 GB","109887","2026-05-26 오후 5:45:24","0","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Google","TopLevelDiscovery","(discovery)","Review","Watch","14905979725","13.88 GB","65713","2026-05-26 오후 5:45:22","0","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Temp\dh","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","12369953750","11.52 GB","25","2026-05-07 오후 5:01:53","19","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Temp\dh\Report.6E5842C9-4F54-4509-8B55-F0A5465C26D5","DiagnosticReport","DiagnosticsHub Reports","Safe","DeleteSafe","11646927569","10.85 GB","2","2026-02-20 오후 1:02:15","95.2","7","Visual Studio Diagnostics Hub report folders. Old profiling sessions can be removed.","True","Delete after confirming no active Visual Studio profiling session.","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Programs","TopLevelDiscovery","(discovery)","Review","Watch","9741560138","9.07 GB","27460","2026-05-20 오후 8:48:13","5.9","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Temp\VSTelem","Temp","User Temp Items","SafeIfClosed","Watch","6133922816","5.71 GB","813","2026-05-20 오전 10:21:51","6.3","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Temp\Outlook Logging","Temp","User Temp Items","SafeIfClosed","Watch","4955701551","4.62 GB","35013","2026-05-26 오후 5:41:20","0","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Kakao","TopLevelDiscovery","(discovery)","Review","Watch","4926686785","4.59 GB","10034","2026-05-26 오후 5:42:03","0","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\npm-cache","TopLevelDiscovery","(discovery)","Review","Watch","3457930477","3.22 GB","38613","2026-05-26 오후 4:32:34","0.1","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\NuGet","TopLevelDiscovery","(discovery)","Review","Watch","3396467597","3.16 GB","2591","2026-05-26 오후 5:14:00","0","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Packages","TopLevelDiscovery","(discovery)","Review","Watch","3224767588","3.00 GB","25353","2026-05-26 오후 5:45:18","0","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Temp\ar0jxmz2","Temp","User Temp Items","SafeIfClosed","Watch","2303320153","2.15 GB","496","2026-05-21 오전 6:04:09","5.5","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Ollama","TopLevelDiscovery","(discovery)","Review","Watch","2137213836","1.99 GB","18","2026-05-26 오후 12:36:03","0.2","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\SquirrelTemp","TopLevelDiscovery","(discovery)","Review","Watch","1979042044","1.84 GB","5810","2026-05-06 오후 2:26:28","20.1","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Temp\tmp","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","1970993693","1.84 GB","43","2026-03-09 오전 7:35:37","78.4","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Temp\WISE","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","1645424076","1.53 GB","1096","2025-10-20 오후 1:37:58","218.2","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache","AppCache","UWP LocalCache","Review","Watch","1466234753","1.37 GB","9422","2026-05-26 오후 5:45:18","0","30","Per-app cache. Review because some apps use this path for offline data.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Temp\Studio","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","1421233912","1.32 GB","1595","2026-04-22 오전 6:44:46","34.5","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\LINQPad","TopLevelDiscovery","(discovery)","Review","Watch","1354361903","1.26 GB","3810","2026-05-06 오후 2:02:29","20.2","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\GitHubDesktop","TopLevelDiscovery","(discovery)","Review","Watch","1163059268","1.08 GB","1915","2026-05-26 오후 2:02:50","0.2","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\AnthropicClaude","TopLevelDiscovery","(discovery)","Review","Watch","1124376376","1.05 GB","1994","2026-05-25 오전 2:34:58","1.6","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Temp\05131C08-5920-4A12-A61B-4C443D8AAC21","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","1037631488","989.56 MB","4","2025-10-16 오후 1:34:05","222.2","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Postman-Agent","TopLevelDiscovery","(discovery)","Review","Review","1000956041","954.59 MB","158","2026-04-03 오전 7:00:52","53.4","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
